Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
55,M-1227,AARTHI SCANS & LABS (A UNIT OF AARTHI SCANS PRIVATE LIMITED),nabl001574,2022,Medical,Renewal of Accreditation,AARTHI G,aarthiscansandlabs.nabl@gmail.com,9940022447,"NO.60, HUNDRED FEET ROAD, VADAPALANI",Tamil Nadu,Chennai,600026,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6396,16/03/2026,15/03/2030,,17/03/2026,Shweta Sinha,May 13 2026 7:30AM
56,M-0744,SL DIAGNOSTICS PRIVATE LIMITED,nabl001584,2022,Medical,Renewal of Accreditation,Sujatha Rani,sldpl@yahoo.co.in,9949161851,"1-8-702/35, LOWER GROUND FLOOR & 4TH FLOOR, WINDSOR PLAZA, NALLAKUNTA",Telangana,Hyderabad,500044,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6788,05/09/2024,04/09/2026,,,Archive Applications,May 13 2026 7:30AM
57,M-1615,"HIV TESTING LABORATORY, DEPARTMENT OF MICROBIOLOGY, JAWAHARLAL NEHRU INSTITUTE OF MEDICAL SCIENCES (JNIMS)",nabl001672,2022,Medical,NABL 201,ROSHAN SINGH,srl.manipur.jnmc@gmail.com,3853566805,POROMPAT,Manipur,Imphal,795005,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-6598,04/08/2025,12/06/2026,,,Archive Applications,May 13 2026 7:30AM
58,M-0197,P.S.G HOSPITALS DIAGNOSTIC CENTRE,nabl001676,2022,Medical,Renewal of Accreditation,VIJAYA DORAISWAMY,viyasou@yahoo.co.in,9443065415,"AVINASHI ROAD, PEELAMEDU",Tamil Nadu,Coimbatore,641004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2799,18/06/2025,17/06/2029,,24/06/2025,Archive Applications,May 13 2026 7:30AM
59,M-0412,HINDLABS,nabl001689,2022,Medical,Renewal of Accreditation,Swapna Anand,swapnapawan@gmail.com,8447599263,"GROUND FLOOR, CGHS DISPENSARY, SECTOR 12, R K PURAM",Delhi,New Delhi,110022,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2041,18/01/2026,17/01/2030,,11/02/2026,Gayathri S,May 13 2026 7:30AM
60,M-1577,"DEPARTMENT OF LABORATORY MEDICINE, NU HOSPITALS",nabl001692,2022,Medical,Renewal of Accreditation,Ashvini,dr.k.ashvini@nuhospitals.com,9880611752,"4/1 WEST OF CHORD ROAD, RAJAJINAGAR",Karnataka,Bengaluru,560010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-3006,03/11/2025,02/11/2029,,,Archive Applications,May 13 2026 7:30AM
61,M-1231,YENEPOYA MEDICAL COLLEGE HOSPITAL LABORATORY,nabl001706,2022,Medical,Renewal of Accreditation,Khalida Parveen Adnan,drkhalida@yenepoya.edu.in,9742023699,"NITHYANANDA NAGAR, DERLAKATTE",Karnataka,Mangaluru,575018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-8038,15/04/2026,14/04/2030,,,Archive Applications,May 13 2026 7:30AM
62,M-0573,TAGORE HOSPITAL AND RESEARCH INSTITUTE - LABORATORY DIVISION,nabl001774,2022,Medical,Renewal of Accreditation,Ruchi,tagorequality2021@gmail.com,8209725639,"SECTOR 7, SHIPRAPATH, MADHYAM MARG",Rajasthan,Jaipur,302020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology & Immunohaematology",,MC-3021,02/04/2026,01/04/2030,,01/05/2026,Gayathri S,May 13 2026 7:30AM
63,M-0825,"DEPARTMENT OF MICROBIOLOGY, GOVERNMENT MEDICAL COLLEGE, AURANGABAD",nabl001816,2022,Medical,Renewal of Accreditation,JYOTI IRAVANE,jairavane@hotmail.com,9823233245,PANCHAKKI ROAD,Maharashtra,Aurangabad,431001,Accreditation Certificate Approved and Issued,"Molecular Testing,Flow Cytometry,Microbiology & Infectious disease serology",,MC-2484,19/12/2025,18/12/2029,,,Shweta Sinha,May 13 2026 7:30AM
64,M-0717,HIMALAYAN CENTRAL DIAGNOSTIC AND RESEARCH LABORATORY,nabl001834,2022,Medical,Renewal of Accreditation,Dushyant Singh Gaur,dsgaur@srhu.edu.in,9837020745,"HIMALAYAN INSTITUTE OF MEDICAL SCIENCES, JOLLY GRANT",Uttarakhand,Dehradun,248016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2370,15/12/2025,14/12/2029,,17/12/2025,Gayathri S,May 13 2026 7:30AM
65,M-1183,MICROPHASE DIAGNOSTICS,nabl001845,2022,Medical,Renewal of Accreditation,ABDUL QUDDUS SHAIKH,microphasediagnostics@gmail.com,9860920360,"JUNA BAZAR, NARALIBAG",Maharashtra,Aurangabad,431001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-3042,26/11/2025,25/11/2029,,,Shweta Sinha,May 13 2026 7:30AM
66,M-1582,MICROCHEK LABS,nabl001874,2022,Medical,Renewal of Accreditation,RAKESH SHARMA,microcheklabs@gmail.com,9602631060,"F-8, BRANDABAN COMPLEX, A-13 CENTRAL SPINE, VIDYADHAR NAGAR",Rajasthan,Jaipur,302023,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-6768,27/08/2024,26/08/2026,,,Archive Applications,May 13 2026 7:30AM
67,M-0025,ASHOK LABORATORY CLINICAL TESTING CENTRE PVT. LTD.,nabl001998,2022,Medical,Renewal of Accreditation,DIGANTA DEY,diganta.dey@ashokhealthcare.com,9831696768,"390B, JODHPUR PARK",West Bengal,Kolkata,700068,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6700,02/08/2024,01/08/2026,,,Archive Applications,May 13 2026 7:30AM
68,M-0499,ASWINI DIAGNOSTIC SERVICES (A UNIT OF ADS RESEARCH CENTRE LLP),nabl002019,2022,Medical,Renewal of Accreditation,FASHNAMOL C P,qm@aswinicalicut.net,7592007500,"CHINTHAVALAPPU JUNCTION, JAIL ROAD, CALICUT",Kerala,Kozhikode,673004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-3108,18/01/2026,17/01/2030,,19/01/2026,Archive Applications,May 13 2026 7:30AM
69,M-0397,"LABORATORY, MANIPAL HOSPITAL - HEBBAL",nabl002064,2022,Medical,Renewal of Accreditation,KalaiSelvi,kalai.a@manipalhospitals.com,9742851635,"KIRLOSKAR BUSINESS PARK, BELLARY ROAD, HEBBAL",Karnataka,Bengaluru,560024,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology",,MC-2397,05/10/2025,04/10/2029,,07/10/2025,Archive Applications,May 13 2026 7:30AM
70,M-0413,"DEPARTMENT OF LAB SCIENCES, REGENCY HOSPITAL LTD.",nabl002098,2022,Medical,Renewal of Accreditation,Anjali Tewari,anjalitew@gmail.com,9839027404,"A-2, SARVODAYA NAGAR",Uttar Pradesh,Kanpur,208005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-3139,29/12/2025,28/12/2029,,,Archive Applications,May 13 2026 7:30AM
71,M-0664,SITEC LABS LIMITED,nabl002130,2022,Medical,Scope Extension,ZAKI DANGE,zaki.dange@siteclabs.com,9665883032,"JAYSHREE PLAZA, 1ST FLOOR, LBS MARG, BHANDUP WEST",Maharashtra,Mumbai,400078,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2371,09/10/2025,08/10/2029,,23/12/2025,Gayathri S,May 13 2026 7:30AM
72,M-0045,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl002143,2022,Medical,Renewal of Accreditation,VIJAYA SREE MATHE,vijayasree.mathe@vijayadiagnostic.in,9989701120,"#3-6-16 & 17, STREET NO. 19, HIMAYATH NAGAR",Telangana,Hyderabad,500026,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Cytogenetics,Molecular Diagnostics,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2657,16/03/2026,15/03/2030,,,Archive Applications,May 13 2026 7:30AM
73,M-1210,DR. MONA NAYYAR'S DIAGNOSTIC CENTRE,nabl002145,2022,Medical,Renewal of Accreditation,MONA NAYYAR,drmonanayyar@gmail.com,9818543999,"2A, FRUIT GARDEN, NH5, NIT",Haryana,Faridabad,121001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",",--Select Group--",MC-2116,28/10/2024,27/10/2028,,,Archive Applications,May 13 2026 7:30AM
74,M-1209,SUMITRA HOSPITAL: DEPARTMENT OF LABORATORY MEDICINE,nabl002152,2022,Medical,Renewal of Accreditation,AMITA SAIGAL,saigalamita2006@yahoo.co.in,9818875332,"A-119 A, SECTOR-35",Uttar Pradesh,Noida,201301,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-2099,13/01/2026,12/01/2030,,14/01/2026,Shweta Sinha,May 13 2026 7:30AM
75,M-1171,"MASKARA FINVEST PVT LTD, DEPARTMENT OF LABORATORY MEDICINE",nabl002169,2022,Medical,Scope Extension,ANURADHA SINGH,Hmaskara@gmail.com,8429594667,"142A, HANUMAN MANDIR ROAD, BETIAHATA",Uttar Pradesh,Gorakhpur,273001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6740,19/08/2024,18/08/2026,,08/04/2025,Archive Applications,May 13 2026 7:30AM
76,M-0162,KAMALNAYAN BAJAJ HOSPITAL PATHOLOGY LABORATORY,nabl002196,2022,Medical,Renewal of Accreditation,Shrinivas Panchal,pathology@bajajhospital.com,9604099826,"GUT NO 43, SATARAPARISAR, BEED BYPASS ROAD",Maharashtra,Aurangabad,431010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7960,16/02/2026,15/02/2030,,,Archive Applications,May 13 2026 7:30AM
77,M-1148,LABORATORY SERVICES- ROG NIDAN KENDRA,nabl002198,2022,Medical,Renewal of Accreditation,SJS CHAWLA,rognidankendra@gmail.com,9312257001,"E-191, INDIRA PARK, SHASTRI NAGAR, NEW DELHI",Delhi,Delhi,110052,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Hematology & Immunohematology,Clinical Pathology",",--Select Group--,--No Data--",MC-3069,07/12/2025,06/12/2029,,24/04/2026,Swati Gogna,May 13 2026 7:30AM
78,M-0586,SAHYADRI SPECIALITY LABS,nabl002206,2022,Medical,Renewal of Accreditation,MAITHILI KAVATHEKAR,maithili.kavathekar@manipalhospitals.com,9673338122,"PLOT NO.54, S.NO. 89-90, LOKMANYA COLONY, KOTHRUD",Maharashtra,Pune,411038,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Molecular Diagnostics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--,--No Data--",MC-2048,05/02/2026,04/02/2030,,,Archive Applications,May 13 2026 7:30AM
79,M-0555,BASAVATARAKAM INDO AMERICAN CANCER HOSPITAL AND RESEARCH INSTITUTE,nabl002290,2022,Medical,Renewal of Accreditation,Suseela Kodandapani,suseela.kpani@gmail.com,8184840668,"ROAD NO.10, BANJARA HILLS",Telangana,Hyderabad,500034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2050,20/01/2026,19/01/2030,,11/02/2026,Archive Applications,May 13 2026 7:30AM
80,M-0432,PALIWAL DIAGNOSTICS PVT. LTD.,nabl002309,2022,Medical,Renewal of Accreditation,MRIDULA PALIWAL,pdpl.mridula@gmail.com,9307219201,"117/H1/02, PANDU NAGAR",Uttar Pradesh,Kanpur,208005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7287,30/03/2025,29/03/2029,,,Archive Applications,May 13 2026 7:30AM
81,M-1151,DR. ROY'S DIAGNOSTICS CENTRE PVT. LTD.(DEPARTMENT OF LABORATORY SERVICES),nabl002313,2022,Medical,Renewal of Accreditation,Abhisek Lath,abhiseklath@gmail.com,9163118951,136/1 B. K. PAUL AVENUE,West Bengal,Kolkata,700005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6845,14/09/2024,13/09/2026,,,Archive Applications,May 13 2026 7:30AM
82,M-1239,"CARDINAL GRACIAS MEMORIAL HOSPITAL TRUST, PATHOLOGY LABORATORY",nabl002414,2022,Medical,Renewal of Accreditation,Suchita Vaity,cardinalgraciaspathology@gmail.com,7875338078,"BANGLI, SANDOR",Maharashtra,Vasai,401201,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2028,18/05/2024,17/05/2026,,,Archive Applications,May 13 2026 7:30AM
83,M-0622,JDAR PATHOLOGY LABORATORY LLP,nabl002425,2022,Medical,Renewal of Accreditation,DR URMIL GOEL,drsaurabh.del@gmail.com,8595683746,"HOUSE NO. 6, STREET NO. 2 (2/6), SHANTI NIKETAN",Delhi,New Delhi,110021,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2035,20/01/2026,19/01/2030,,,Archive Applications,May 13 2026 7:30AM
84,M-1241,"DEPARTMENT OF MICROBIOLOGY, BANGALORE MEDICAL COLLEGE & RESEARCH INSTITUTE",nabl002438,2022,Medical,Renewal of Accreditation,SATHYANARAYAN M S,drsathyams@gmail.com,9686807600,"VICTORIA HOSPITAL CAMPUS, K.R. ROAD, FORT",Karnataka,Bengaluru,560002,Accreditation Certificate Approved and Issued,"Molecular Diagnostics,Microbiology & Infectious disease serology",",--Select Group--",MC-3050,11/02/2026,10/02/2030,,02/03/2026,Shweta Sinha,May 13 2026 7:30AM
85,M-0811,"HIV LABORATORY, DEPARTMENT OF MICROBIOLOGY, MAULANA AZAD MEDICAL COLLEGE",nabl002458,2022,Medical,Renewal of Accreditation,ROHIT CHAWLA,rohitchawla75@gmail.com,9968604393,"ROOM NO. 274, 2ND FLOOR, PATHOLOGY BLOCK, MAULANA AZAD MEDICAL COLLEGE, GOVT. OF NCT OF DELHI, BSZ MARG",Delhi,New Delhi,110002,Accreditation Certificate Approved and Issued,"Flow Cytometry,Microbiology & Infectious disease serology",,MC-8069,30/04/2026,29/04/2030,,,Shweta Sinha,May 13 2026 7:30AM
86,M-1643,"DEPARTMENT OF LABORATORY SERVICES, ACTION CANCER HOSPITAL",nabl002497,2022,Medical,Renewal of Accreditation,NAVEEN KUMAR AGARWAL,drnagarwal@actioncancerhospital.com,9811050577,"H-2, FC-34, A-4, PASCHIM VIHAR",Delhi,New Delhi,110063,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Cytogenetics,Molecular Diagnostics,Histopathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3133,21/02/2026,20/02/2030,,,Archive Applications,May 13 2026 7:30AM
87,M-1621,"CENTRAL CLINICAL LABORATORY, CHIRAYU MEDICAL COLLEGE AND HOSPITAL",nabl002508,2022,Medical,Renewal of Accreditation,Rishabh Sahai,labdirector@cmchbhopal.com,7204161924,"BHOPAL INDORE HIGHWAY, BHAISAKHEDI",Madhya Pradesh,Bhopal,462030,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3099,10/01/2026,09/01/2030,,,Archive Applications,May 13 2026 7:30AM
88,M-0502,BANGALORE BAPTIST HOSPITAL LABORATORY,nabl002530,2022,Medical,Renewal of Accreditation,MAHALAXMI SUBRAMANIAM,bbhlaboratory@gmail.com,9164146212,"BELLARY ROAD, HEBBAL",Karnataka,Bengaluru,560024,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-2009,05/04/2025,04/04/2029,,08/04/2025,Archive Applications,May 13 2026 7:30AM
89,M-0605,UNIPATH SPECIALTY LABORATORY LIMITED,nabl002550,2022,Medical,Renewal of Accreditation,PURVI SHAH,purvi.shah@unipath.in,9824804449,"7 PASL HOUSE ,PANJARA POLE, AMBAWADI",Gujarat,Ahmedabad,380015,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-2024,20/01/2026,19/01/2030,,,Archive Applications,May 13 2026 7:30AM
90,M-1225,VIJAYA DIAGNOSTIC CENTRE LIMITED,nabl002556,2022,Medical,Onsite Surveillance,VIJAYA SREE MATHE,vijayasree.mathe@vijayadiagnostic.in,9989701120,"H.NO. 6-3-28/29, PINJARLA STREET, HANAMKONDA",Telangana,Warangal,506011,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2025,08/02/2025,07/02/2029,,19/01/2026,Archive Applications,May 13 2026 7:30AM
91,M-0284,"ADITYA BIRLA MEMORIAL HOSPITAL - LABORATORY, UNIT OF ADITYA BIRLA HEALTH SERVICES PVT. LTD.",nabl002569,2022,Medical,Renewal of Accreditation,Sohini Arora,sohini.arora@adityabirla.com,9881063998,"ADITYA BIRLA MARG, CHINCHWAD",Maharashtra,Pune,411033,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3126,07/02/2025,06/02/2029,,10/02/2025,Archive Applications,May 13 2026 7:30AM
92,M-0131,LABORATORY SERVICES OF AMRITA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE,nabl002572,2022,Medical,Renewal of Accreditation,SACHIN DAVID,sachindavid@aims.amrita.edu,9791731473,AIMS-PONEKKARA,Kerala,Kochi,682041,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--No Data--",MC-3039,20/10/2025,19/10/2029,,31/10/2025,Archive Applications,May 13 2026 7:30AM
93,M-0105,TOPRANI ADVANCED LAB SYSTEMS,nabl002576,2022,Medical,Renewal of Accreditation,PAYAL PATEL,drpayalpatel1979@gmail.com,9998959877,"18, URMI SOCIETY, AKOTA",Gujarat,Vadodara,390020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-2135,10/04/2025,09/04/2029,,05/11/2025,Gayathri S,May 13 2026 7:30AM
94,M-1629,PATHKIND DIAGNOSTICS PVT. LTD.,nabl002584,2022,Medical,Renewal of Accreditation,AMIT PRUTHI,amit.pruthi@pathkindlabs.com,9818548428,"PLOT NO 55 - 56, PHASE 4, UDYOG VIHAR, SECTOR-18",Haryana,Gurgaon,122015,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Cytogenetics,Molecular Diagnostics,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology,Histocompatibility & Immunogenetics",",--Select Group--",MC-3055,07/12/2025,06/12/2029,,,Archive Applications,May 13 2026 7:30AM
95,M-0663,"DEPARTMENT OF LABORATORY SERVICES, ASIAN INSTITUTE OF MEDICAL SCIENCES - TRADE NAME OF BLUE SAPPHIRE HEALTHCARES PRIVATE LIMITED",nabl002617,2022,Medical,NABL 201,UMA RANI,uma.rani@aimsindia.com,9650099052,SECTOR 21 A,Haryana,Faridabad,121001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3066,07/07/2025,14/12/2028,,,Archive Applications,May 13 2026 7:30AM
96,M-0725,M M DIAGNOSTICS (A UNIT OF DR V K GOEL DIAGNOSTICS LLP),nabl002641,2022,Medical,Renewal of Accreditation,DIVYA GOEL,dgpath@gmail.com,9760016106,GMD ROAD,Uttar Pradesh,Moradabad,244001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3110,28/02/2026,27/02/2030,,02/03/2026,Gayathri S,May 13 2026 7:30AM
97,M-1702,"DEPARTMENT OF MICROBIOLOGY, ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), NEW DELHI",nabl002646,2022,Medical,Renewal of Accreditation,Bimal Kumar Das,tezpur.bimal@gmail.com,9717315286,"DEPARTMENT OF MICROBIOLOGY, SECOND FLOOR, TEACHING BLOCK, ALL INDIA INSTITUE OF MEDICAL SCIENCES, ANSARI NAGAR",Delhi,New Delhi,110029,Accreditation Certificate Approved and Issued,"Molecular Testing,Microbiology & Infectious disease serology",,MC-3267,11/12/2025,14/11/2029,,26/12/2025,Archive Applications,May 13 2026 7:30AM
